reporting_month,source_month,settlement_month,settlement_type,record_type,match_group_id,internal_transaction_ids,internal_payment_refs,bank_line_ids,bank_references,cardinality,internal_amount,bank_amount,variance,reconciliation_status,match_method,comments
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0062,TXNMAY00060,PRMAY30244148,BLMAY00060,UTR7045593274,1:1,36542.59,36542.59,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0063,TXNMAY00090,PRMAY31009452,BLMAY00090,UTR8986950095,1:1,38957.04,38957.04,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0064,TXNMAY00004,PRMAY31429110,BLMAY00004,UTR1438989805,1:1,40292.71,40292.71,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0065,TXNMAY00009,PRMAY31931511,BLMAY00009,UTR4529615275,1:1,36203.4,36203.4,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0066,TXNMAY00282,PRMAY32083803,BLMAY00233,UTR3921845810,1:1,81212.55,81212.55,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0067,TXNMAY00028,PRMAY32321899,BLMAY00028,UTR2627677155,1:1,46264.5,46264.5,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0068,TXNMAY00158,PRMAY33286644,BLMAY00158,UTR7977267911,1:1,14734.41,14734.41,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0069,TXNMAY00113,PRMAY33497411,BLMAY00113,UTR1614685938,1:1,57999.35,57999.35,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0070,TXNMAY00120,PRMAY33574011,BLMAY00120,UTR8758809005,1:1,12772.14,12772.14,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0071,TXNMAY00152,PRMAY33581357,BLMAY00152,UTR4187043237,1:1,36274.66,36274.66,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0072,TXNMAY00044,PRMAY33763566,BLMAY00044,UTR4011966884,1:1,2598.51,2598.51,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0073,TXNMAY00083,PRMAY34084236,BLMAY00083,UTR7671625956,1:1,1590.56,1590.56,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0074,TXNMAY00145,PRMAY34215035,BLMAY00145,UTR8118240999,1:1,66830.71,66830.71,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0075,TXNMAY00129,PRMAY35475673,BLMAY00129,UTR5170814022,1:1,90168.77,90168.77,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0076,TXNMAY00030,PRMAY35487660,BLMAY00030,UTR1245522987,1:1,20877.16,20877.16,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0077,TXNMAY00116,PRMAY36738452,BLMAY00116,UTR8298348088,1:1,81103.53,81103.53,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0078,TXNMAY00197,PRMAY36867482,BLMAY00197,UTR5283209430,1:1,13110.27,13110.27,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0079,TXNMAY00063,PRMAY39450273,BLMAY00063,UTR4110335359,1:1,41545.46,41545.46,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0080,TXNMAY00081,PRMAY40942292,BLMAY00081,UTR7374584386,1:1,68591.69,68591.69,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0081,TXNMAY00054,PRMAY41523529,BLMAY00054,UTR5607762160,1:1,29662.24,29662.24,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0082,TXNMAY00128,PRMAY41690501,BLMAY00128,UTR7004964045,1:1,9663.85,9663.85,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0083,TXNMAY00179,PRMAY41895531,BLMAY00179,UTR9182543558,1:1,11795.13,11795.13,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0084,TXNMAY00133,PRMAY41934639,BLMAY00133,UTR8480622107,1:1,30927.35,30927.35,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0085,TXNMAY00023,PRMAY41944441,BLMAY00023,UTR7769777475,1:1,63635.64,63635.64,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0086,TXNMAY00024,PRMAY42614537,BLMAY00024,UTR6816663775,1:1,76760.34,76760.34,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0087,TXNMAY00075,PRMAY42949803,BLMAY00075,UTR6922713963,1:1,26678.45,26678.45,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0088,TXNMAY00068,PRMAY43189803,BLMAY00068,UTR3875303857,1:1,79766.93,79766.93,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0089,TXNMAY00027,PRMAY43528453,BLMAY00027,UTR4645120421,1:1,42236.64,42236.64,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0090,TXNMAY00173,PRMAY43554863,BLMAY00173,UTR4655730355,1:1,61001.71,61001.71,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0091,TXNMAY00038,PRMAY46553958,BLMAY00038,UTR7393195616,1:1,57557.63,57557.63,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0092,TXNMAY00095,PRMAY47333543,BLMAY00095,UTR6789448659,1:1,94710.58,94710.58,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0093,TXNMAY00174,PRMAY48260510,BLMAY00174,UTR4910589015,1:1,72555.32,72555.32,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
